Name,Full Name,Owner,Stars,Forks,Language,Description,URL,Created,Updated,Topics
subql,subquery/subql,subquery,18886,383,TypeScript,"SubQuery is an Open, Flexible, Fast and Universal data indexing framework for web3. Our mission is to help developers create the decentralised products of the future.",https://github.com/subquery/subql,2020-12-15T02:31:38Z,2025-10-23T11:42:30Z,
nit,numbersprotocol/nit,numbersprotocol,4318,9,TypeScript,"Git of Web3 assets",https://github.com/numbersprotocol/nit,2022-04-20T08:21:14Z,2025-10-22T23:52:12Z,erc-7053;nit
extension,tahowallet/extension,tahowallet,3179,405,TypeScript,"Taho, the community owned and operated Web3 wallet.",https://github.com/tahowallet/extension,2021-03-07T02:03:14Z,2025-10-19T16:52:24Z,bitcoin;cryptocurrency;dapp;ethereum;wallet;web3
web3uikit,web3ui/web3uikit,web3ui,1777,275,TypeScript,"Lightweight reusable Web3 UI components for dapps. ",https://github.com/web3ui/web3uikit,2021-12-29T09:10:21Z,2025-10-11T09:16:16Z,dapp;dapp-ui;ethereum;ethereum-boilerplate;ethers;metamask;react;solana;walletconnect;web3;web3-dapp;web3-react;web3-ui;web3js;web3ui;web3uikit
web3-examples,luzhenqian/web3-examples,luzhenqian,1589,247,TypeScript,"æ¬¢è¿æ¥åˆ° Web3 ä¸–ç•Œï¼Œè¿™é‡Œæ±‡é›†äº†å¤§é‡ Web3 ç¤ºä¾‹é¡¹ç›®å’Œé«˜è´¨é‡å­¦ä¹ èµ„æºã€‚åŠ å…¥æˆ‘ä»¬ï¼Œå’Œä¸€ç™¾ä¸‡å¼€å‘è€…åŒè¡Œï¼Œä¸€èµ·æ¢ç´¢å¹¶å¡‘é€ æœªæ¥ä¸–ç•Œçš„ç¹è£æ™¯è±¡ã€‚ç«‹åˆ»è¡ŒåŠ¨ï¼Œå¼€å¯æ‚¨çš„ Web3 ä¹‹æ—…ï¼",https://github.com/luzhenqian/web3-examples,2022-12-15T07:18:30Z,2025-10-23T10:36:17Z,airdrop;airdrop-free;anchor;bitcoin;blockchain;ethereum;ethereum-contract;exchange;nextjs;react;smart-contracts;solana;solidity;the-open-network;ton;truffle;wallet;web3
eth-phishing-detect,MetaMask/eth-phishing-detect,MetaMask,1216,1021,TypeScript,"Utility for detecting phishing domains targeting Web3 users",https://github.com/MetaMask/eth-phishing-detect,2017-08-03T01:57:18Z,2025-10-24T13:22:03Z,
ant-design-web3,ant-design/ant-design-web3,ant-design,1075,183,TypeScript,"ğŸ¥³ Efficient react components for building dapps easier | Connect crypto wallets and more Web3 UI components | Web3 icons | Supports Ethereum, Solana, Bitcoin, TON, Sui, TRON and others.",https://github.com/ant-design/ant-design-web3,2023-08-18T07:12:56Z,2025-10-22T14:37:28Z,antd;bitcoin;ethereum;react;solana;ton;web3
web3-onboard,thirdweb-dev/web3-onboard,thirdweb-dev,909,541,TypeScript,"Client library to onboard users to web3 apps",https://github.com/thirdweb-dev/web3-onboard,2019-08-16T05:57:08Z,2025-10-20T10:46:40Z,blockchain;connect;dapp;ethereum;polygon;wallet;web3
BountyBoard,veithly/BountyBoard,veithly,906,9,TypeScript,"Bounty Board is a decentralized platform designed to streamline Web3 community activities. ",https://github.com/veithly/BountyBoard,2024-08-05T09:47:04Z,2025-10-02T01:05:25Z,
trust-web3-provider,trustwallet/trust-web3-provider,trustwallet,861,473,TypeScript,"Web3 javascript wrapper provider for iOS and Android platforms.",https://github.com/trustwallet/trust-web3-provider,2018-02-12T00:44:21Z,2025-10-13T02:54:01Z,blockchain;dapps;swift;web3
web3-ui,Developer-DAO/web3-ui,Developer-DAO,785,153,TypeScript,"A React UI library for Web3",https://github.com/Developer-DAO/web3-ui,2021-11-22T16:48:16Z,2025-10-21T09:38:13Z,hooks;react;ui-components;web3;web3-ui
nexth,wslyvh/nexth,wslyvh,726,146,TypeScript,"A Next.js + Ethereum starter kit with Viem, Wagmi, Web3Modal, SIWE, Tailwind, daisyUI and more to quickly ship production-ready Web3 Apps âš¡",https://github.com/wslyvh/nexth,2022-12-16T21:05:52Z,2025-10-04T14:15:09Z,chakra-ui;ethereum;nextjs;solidity;typescript;wagmi;web3
chainlist,FrederikBolding/chainlist,FrederikBolding,692,231,TypeScript,"A list of EVM-based chains that also allows you to add chains to your favorite Web3 wallet. An alternative to the closing chainlist.org",https://github.com/FrederikBolding/chainlist,2022-03-04T21:00:15Z,2025-10-23T10:10:48Z,hacktoberfest
next-web3-boilerplate,mirshko/next-web3-boilerplate,mirshko,612,144,TypeScript,"Slightly opinionated Next.js Web3 boilerplate built on ethers, web3-react, Typechain, and SWR.",https://github.com/mirshko/next-web3-boilerplate,2020-07-19T10:30:33Z,2025-10-17T04:39:05Z,dapp;ethereum-dapp;ethers;ethersjs;nextjs;nextjs-boilerplate;nextjs-starter;react;typechain;typescript;web3;web3-react
js,thirdweb-dev/js,thirdweb-dev,570,608,TypeScript,"Best in class web3 SDKs for Browser, Node and Mobile apps",https://github.com/thirdweb-dev/js,2022-08-28T00:50:21Z,2025-10-24T00:21:37Z,javascript;react;sdk;typescript;web3
nft-market,silviopaganini/nft-market,silviopaganini,558,283,TypeScript,"NFT Marketplace prototype using Typescript, WalletConnect, Metamask, Web3, Solidity, React and Storybook",https://github.com/silviopaganini/nft-market,2021-03-07T21:06:36Z,2025-10-04T22:48:09Z,ethereum;ethereum-contract;openzeppelin;react;solidity;storybook;typescript
ethora,dappros/ethora,dappros,501,98,TypeScript,"Open-source engine for chat ğŸ’¬, AI assistants ğŸ¤– & wallets ğŸªª. React, Typescript, Python, XMPP. Build future apps with chat, AI agents and web3.",https://github.com/dappros/ethora,2021-06-21T12:59:37Z,2025-10-10T03:43:11Z,ai-chat;chat-sdk;chat-widget;chatbot;developer-tools;ejabberd;ethereum;ethora;low-code;mcp;messaging;open-source;rag;react;react-native;reactjs;super-app;wallet;web3;xmpp
sigle,sigle/sigle,sigle,476,82,TypeScript,"Open-source Web3 writing platform for Web3 writers",https://github.com/sigle/sigle,2019-01-31T21:22:45Z,2025-10-24T09:16:24Z,blogging;open-source;sigle;stacks;typescript
web3auth-web,Web3Auth/web3auth-web,Web3Auth,471,249,TypeScript,"Simple infrastructure that enables Web3 wallets and applications to provide seamless user logins for both mainstream and Web3.0 users.",https://github.com/Web3Auth/web3auth-web,2021-11-03T03:46:36Z,2025-10-23T04:14:07Z,
solana-web3js,ChainBuff/solana-web3js,ChainBuff,458,70,TypeScript,"å¯å¿«é€Ÿä¸Šæ‰‹çš„ Solana Web3.js æ•™ç¨‹",https://github.com/ChainBuff/solana-web3js,2024-10-19T14:47:41Z,2025-10-19T07:59:03Z,